,round,source,volume,time
0,1,RUN,5,5
1,2,CLEAVE,3,15
2,2,PAUSE,5,15
3,2,SSC,2,4
4,2,B02,2,5
5,2,B02,2,6
6,2,PAUSE,5,15
7,2,READOUT WASH,2,9
8,2,IMAGING BUFFER,2,6
9,2,RUN,5,5
10,3,CLEAVE,3,15
11,3,PAUSE,5,15
12,3,SSC,2,4
13,3,B03,2,5
14,3,B03,2,6
15,3,PAUSE,5,15
16,3,READOUT WASH,2,9
17,3,IMAGING BUFFER,2,6
18,3,RUN,5,5
19,4,CLEAVE,3,15
20,4,PAUSE,5,15
21,4,SSC,2,4
22,4,B04,2,5
23,4,B04,2,6
24,4,PAUSE,5,15
25,4,READOUT WASH,2,9
26,4,IMAGING BUFFER,2,6
27,4,RUN,5,5
28,5,CLEAVE,3,15
29,5,PAUSE,5,15
30,5,SSC,2,4
31,5,B05,2,5
32,5,B05,2,6
33,5,PAUSE,5,15
34,5,READOUT WASH,2,9
35,5,IMAGING BUFFER,2,6
36,5,RUN,5,5
37,6,CLEAVE,3,15
38,6,PAUSE,5,15
39,6,SSC,2,4
40,6,B06,2,5
41,6,B06,2,6
42,6,PAUSE,5,15
43,6,READOUT WASH,2,9
44,6,IMAGING BUFFER,2,6
45,6,RUN,5,5
46,7,CLEAVE,3,15
47,7,PAUSE,5,15
48,7,SSC,2,4
49,7,B07,2,5
50,7,B07,2,6
51,7,PAUSE,5,15
52,7,READOUT WASH,2,9
53,7,IMAGING BUFFER,2,6
54,7,RUN,5,5
55,8,CLEAVE,3,15
56,8,PAUSE,5,15
57,8,SSC,2,4
58,8,B08,2,5
59,8,B08,2,6
60,8,PAUSE,5,15
61,8,READOUT WASH,2,9
62,8,IMAGING BUFFER,2,6
63,8,RUN,5,5
64,9,SSC,2,4
65,9,B09,2,5
66,9,B09,2,6
67,9,PAUSE,5,15
68,9,SSC,2,4
69,9,IMAGING BUFFER,2,6
70,9,RUN,5,5
